Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge,Pos,Num,Height,Weight,DOB
Drake Batherson,OTT,82,22,39,61,-35,15,33,249,80,113,115,38,38,35,13,25,34.21,2023,"5,400,000","4,975,000",both,RW,19,75.0,200.0,4/27/98
Jeff Skinner,BUF,80,35,47,82,16,13,29,240,102,88,21,46,41,14,143,155,47.99,2023,"10,000,000","9,000,000",both,LW,53,71.0,197.0,5/16/92
Brady Tkachuk,OTT,82,35,48,83,-10,39,126,345,72,140,242,51,30,8,371,394,48.5,2023,"10,500,000","8,205,714",both,LW,7,76.0,221.0,9/16/99
Parker Kelly,OTT,56,1,3,4,-9,14,37,59,21,20,172,12,18,26,6,6,50.0,2023,"775,000","762,500",both,LW,27,72.0,190.0,5/14/99
Victor Olofsson,BUF,76,28,12,40,-22,2,4,161,64,48,16,22,24,15,1,5,16.67,2023,"4,750,000","4,750,000",both,LW,71,71.0,181.0,7/18/95
Casey Mittelstadt,BUF,82,15,44,59,-9,7,22,134,50,43,30,42,50,17,338,399,45.86,2023,"2,600,000","2,500,000",both,C,37,73.0,195.0,11/22/98
Mattias Samuelsson,BUF,55,2,8,10,14,10,20,76,34,26,107,21,21,91,0,0,0.0,2023,"2,285,716","4,285,714",both,D,23,76.0,231.0,3/14/00
Claude Giroux,OTT,82,35,42,77,6,17,34,212,65,78,75,32,52,30,714,505,58.57,2023,"7,000,000","6,500,000",both,RW,28,71.0,190.0,1/12/88
Jacob Bryson,BUF,61,1,8,9,-24,4,8,27,18,13,34,8,13,70,0,0,0.0,2023,"1,900,000","1,850,000",both,D,78,69.0,176.0,11/18/97
Owen Power,BUF,80,4,32,36,12,12,24,130,68,31,27,51,25,85,0,0,0.0,2023,"832,500","916,667",both,D,25,78.0,218.0,11/22/02
Joel Farabee,PHI,82,15,24,39,-1,16,41,144,66,47,71,39,25,45,16,29,35.56,2023,"2,250,000","5,000,000",both,LW,86,72.0,183.0,2/25/00
Owen Tippett,PHI,77,27,22,49,-18,8,16,231,101,83,125,25,44,69,19,11,63.33,2023,"1,750,000","1,500,000",both,RW,74,73.0,207.0,2/16/99
Nicolas Deslauriers,PHI,81,6,6,12,-11,31,136,70,24,37,305,8,13,26,3,8,27.27,2023,"2,000,000","1,750,000",both,LW,44,73.0,220.0,2/22/91
Travis Konecny,PHI,60,30,31,61,-10,29,77,190,86,81,55,26,34,37,29,31,48.33,2023,"6,000,000","5,500,000",both,RW,11,70.0,175.0,3/11/97
Travis Sanheim,PHI,81,7,16,23,-6,20,40,111,54,42,61,42,22,137,0,0,0.0,2023,"5,125,000","6,250,000",both,D,6,75.0,181.0,3/29/96
Morgan Frost,PHI,82,19,26,45,-13,12,24,155,71,51,85,26,38,53,437,514,45.95,2023,"1,450,000","2,100,000",both,C,48,71.0,170.0,5/14/99
Noah Cates,PHI,82,13,25,38,3,6,12,107,47,44,86,13,60,64,416,638,39.47,2023,"2,625,000","2,625,000",both,LW,27,73.0,165.0,2/5/99
Nick Seeler,PHI,78,4,10,14,1,22,56,84,54,25,126,24,9,162,0,0,0.0,2023,"800,000","775,000",both,D,24,74.0,201.0,6/3/93
Scott Laughton,PHI,78,19,24,43,-8,21,50,171,60,47,155,42,35,56,510,567,47.35,2023,"3,625,000","3,000,000",both,C,21,73.0,190.0,5/30/94
Liam O'Brien,ARI,56,3,8,11,-4,32,114,39,18,17,203,20,6,28,4,11,26.67,2023,"800,000","775,000",both,C,38,73.0,213.0,7/29/94
Pierre-Olivier Joseph,PIT,77,5,16,21,8,21,44,109,83,30,88,33,38,35,0,0,0.0,2023,"850,000","825,000",both,D,73,74.0,185.0,7/1/99
J.J. Moser,ARI,82,7,24,31,-13,15,33,93,84,35,80,43,14,136,0,0,0.0,2023,"832,500","886,667",both,D,90,73.0,173.0,6/6/00
Rickard Rakell,PIT,82,28,32,60,-5,8,16,247,98,96,141,43,29,54,10,13,43.48,2023,"6,000,000","5,000,000",both,RW,67,73.0,195.0,5/5/93
Nick Schmaltz,ARI,63,22,37,59,3,10,20,132,58,61,12,54,61,28,41,59,41.0,2023,"7,500,000","5,850,000",both,C,8,72.0,181.0,2/23/96
Jack McBain,ARI,82,12,14,26,-5,26,64,85,31,33,304,30,26,51,370,469,44.1,2023,"1,599,999","1,599,999",both,C,22,75.0,201.0,1/6/00
Jake Guentzel,PIT,78,36,38,74,1,22,46,244,103,105,84,48,45,47,8,8,50.0,2023,"6,000,000","6,000,000",both,LW,59,71.0,180.0,10/6/94
Marcus Pettersson,PIT,68,1,23,24,5,22,58,96,67,53,133,43,25,129,0,0,0.0,2023,"4,025,175","4,025,175",both,D,28,75.0,177.0,5/8/96
Kris Letang,PIT,65,12,28,40,-12,15,30,160,150,63,162,84,47,108,0,0,0.0,2023,"8,000,000","6,100,000",both,D,58,72.0,201.0,4/24/87
Troy Stecher,ARI,81,3,11,14,-7,19,44,87,69,25,71,38,21,92,0,0,0.0,2023,"1,100,000","1,100,000",both,D,51,70.0,184.0,4/7/94
Clayton Keller,ARI,82,37,50,87,-1,19,49,223,80,78,18,63,58,34,22,41,34.92,2023,"6,000,000","7,150,000",both,RW,9,70.0,178.0,7/29/98
Barrett Hayton,ARI,82,19,24,43,-5,20,42,177,44,58,83,41,35,33,629,601,51.14,2023,"2,130,000","1,775,000",both,C,29,73.0,207.0,6/9/00
Lawson Crouse,ARI,77,24,21,45,-3,16,35,152,53,54,194,32,32,57,33,49,40.24,2023,"4,600,000","4,300,000",both,LW,67,76.0,215.0,6/23/97
Nick Bjugstad,ARI,78,17,12,29,10,17,34,146,35,66,168,31,33,43,529,579,47.74,2023,"2,100,000","2,100,000",both,C,17,78.0,209.0,7/17/92
Evgeni Malkin,PIT,82,27,56,83,-11,32,72,240,102,72,53,105,82,32,420,436,49.07,2023,"6,000,000","6,100,000",both,C,71,75.0,195.0,7/31/86
Bryan Rust,PIT,81,20,26,46,-3,14,31,212,63,88,98,58,37,50,5,5,50.0,2023,"6,100,000","5,125,000",both,RW,17,71.0,192.0,5/11/92
Sidney Crosby,PIT,82,33,60,93,9,18,52,254,95,94,71,67,59,47,977,869,52.93,2023,"3,000,000","8,700,000",both,C,87,71.0,200.0,8/7/87
Travis Boyd,ARI,82,15,19,34,-31,13,26,93,33,40,39,34,35,58,503,654,43.47,2023,"2,000,000","1,750,000",both,C,72,72.0,190.0,9/14/93
Jeff Carter,PIT,79,13,16,29,-17,14,30,139,55,43,80,33,26,54,560,379,59.64,2023,"3,000,000","3,125,000",both,RW,77,75.0,219.0,1/1/85
Elias Pettersson,VAN,80,41,61,102,18,7,14,260,115,116,74,47,56,88,443,554,44.43,2023,"10,250,000","7,350,000",both,C,40,74.0,176.0,11/12/98
Derek Ryan,EDM,80,13,7,20,11,14,28,92,28,30,54,15,42,42,217,217,50.0,2023,"775,000","900,000",both,C,10,70.0,185.0,12/29/86
Andrei Kuzmenko,VAN,81,38,35,73,11,4,8,143,65,66,13,29,32,18,0,1,0.0,2023,"3,500,000","5,500,000",both,LW,96,71.0,194.0,2/4/96
Connor McDavid,EDM,82,65,90,155,24,18,36,356,88,91,90,77,84,40,530,493,51.81,2023,"1,000,000","12,500,000",both,C,97,73.0,194.0,1/13/97
Darnell Nurse,EDM,82,12,30,42,26,28,64,204,131,69,146,76,42,163,0,0,0.0,2023,"10,400,000","9,250,000",both,D,25,76.0,215.0,2/4/95
Brock Boeser,VAN,75,19,37,56,-22,12,24,182,68,67,50,21,23,33,24,36,40.0,2023,"6,650,000","6,650,000",both,RW,6,73.0,208.0,2/25/97
Zach Hyman,EDM,79,36,47,83,12,18,39,278,62,91,77,29,33,19,6,6,50.0,2023,"7,650,000","5,500,000",both,LW,18,73.0,206.0,6/9/92
Conor Garland,VAN,81,17,29,46,-9,10,31,167,45,68,47,37,47,20,3,11,21.43,2023,"6,000,000","4,950,000",both,RW,8,70.0,165.0,3/11/96
Cody Ceci,EDM,80,1,14,15,11,12,24,88,68,36,139,39,20,109,0,0,0.0,2023,"4,500,000","3,250,000",both,D,5,74.0,210.0,12/21/93
Dakota Joshua,VAN,79,11,12,23,-15,20,60,72,16,18,222,13,31,30,23,20,53.49,2023,"850,000","825,000",both,C,81,75.0,206.0,5/15/96
Evan Bouchard,EDM,82,8,32,40,4,14,28,157,161,64,95,73,66,78,0,0,0.0,2023,"3,500,000","3,900,000",both,D,2,75.0,192.0,10/20/99
Evander Kane,EDM,41,16,12,28,-5,25,53,150,67,47,127,32,15,15,12,22,35.29,2023,"1,500,000","5,125,000",both,LW,91,74.0,218.0,8/2/91
Ryan McLeod,EDM,58,11,11,22,2,9,18,78,35,31,40,41,23,20,287,309,48.15,2023,"2,100,000","2,100,000",both,C,71,74.0,188.0,9/21/99
Ryan Nugent-Hopkins,EDM,82,38,69,107,13,15,35,203,63,64,48,31,57,26,311,376,45.27,2023,"6,250,000","5,125,000",both,C,93,72.0,192.0,4/12/93
Quinn Hughes,VAN,78,7,68,75,16,17,34,155,147,65,29,45,56,71,1,0,100.0,2023,"8,600,000","7,850,000",both,D,43,70.0,180.0,10/14/99
Leon Draisaitl,EDM,80,53,76,129,7,12,24,248,77,103,66,103,79,39,817,669,54.98,2023,"8,000,000","8,500,000",both,C,29,74.0,209.0,10/27/95
J.T. Miller,VAN,81,33,52,85,-9,24,60,225,92,87,201,46,58,54,486,400,54.85,2023,"1,000,000","8,000,000",both,C,9,73.0,218.0,3/14/93
Brett Kulak,EDM,82,3,17,20,13,19,41,113,69,29,105,40,27,104,0,0,0.0,2023,"3,000,000","2,750,000",both,D,27,73.0,192.0,1/6/94
Dylan Holloway,EDM,51,3,6,9,-1,11,27,44,15,23,83,18,11,16,23,39,37.1,2023,"832,500","925,000",both,LW,55,73.0,206.0,9/23/01
Brandon Tanev,SEA,82,16,19,35,22,15,44,114,27,51,190,25,34,68,3,22,12.0,2023,"2,500,000","3,500,000",both,LW,13,72.0,189.0,12/31/91
Frank Vatrano,ANA,81,22,19,41,-28,21,66,231,60,62,86,34,21,74,7,10,41.18,2023,"3,650,000","3,650,000",both,RW,77,71.0,197.0,3/14/94
Adam Henrique,ANA,62,22,16,38,-6,11,22,129,47,45,28,34,26,46,340,327,50.97,2023,"5,825,000","5,825,000",both,C,14,72.0,195.0,2/6/90
Jamie Oleksiak,SEA,76,9,16,25,11,23,64,79,54,33,127,39,43,115,0,0,0.0,2023,"6,000,000","4,600,000",both,D,24,79.0,257.0,12/21/92
Jordan Eberle,SEA,82,20,42,62,7,16,34,181,76,70,44,33,56,25,34,43,44.16,2023,"3,750,000","5,500,000",both,RW,7,71.0,190.0,5/15/90
Ryan Strome,ANA,82,15,27,42,-29,31,79,130,40,36,29,49,29,23,400,519,43.53,2023,"5,000,000","5,000,000",both,C,16,73.0,191.0,7/11/93
Cam Fowler,ANA,82,10,38,48,-21,8,14,130,113,51,18,48,34,103,0,0,0.0,2023,"7,500,000","6,500,000",both,D,4,73.0,215.0,12/5/91
Adam Larsson,SEA,82,8,24,32,29,22,47,144,91,65,222,30,32,173,0,0,0.0,2023,"5,500,000","4,000,000",both,D,6,75.0,209.0,11/12/92
Jaden Schwartz,SEA,71,21,19,40,-17,11,22,167,70,54,55,31,44,25,75,83,47.47,2023,"7,000,000","5,500,000",both,LW,17,70.0,185.0,6/25/92
Jamie Drysdale,ANA,8,0,0,0,-3,1,2,8,6,4,7,3,0,6,0,0,0.0,2023,"2,300,000","2,300,000",both,D,6,71.0,183.0,4/8/02
Mason McTavish,ANA,80,17,26,43,-21,21,44,161,54,55,55,32,29,36,306,417,42.32,2023,"832,500","894,167",both,C,23,72.0,213.0,1/30/03
Trevor Zegras,ANA,81,23,41,64,-26,30,76,184,112,73,46,75,31,29,236,337,41.19,2023,"5,750,000","5,750,000",both,C,11,72.0,185.0,3/20/01
Jakob Silfverberg,ANA,82,10,16,26,-19,16,32,139,40,50,10,19,28,50,18,34,34.62,2023,"5,250,000","5,250,000",both,RW,33,73.0,207.0,10/13/90
Max Jones,ANA,69,9,9,18,-22,30,77,107,43,34,110,18,22,18,10,12,45.45,2023,"1,500,000","1,295,000",both,LW,49,75.0,216.0,2/17/98
Troy Terry,ANA,70,23,38,61,-4,11,22,188,69,94,12,27,43,21,2,0,100.0,2023,"7,000,000","7,000,000",both,RW,19,72.0,185.0,9/10/97
Oliver Bjorkstrand,SEA,81,20,25,45,2,8,16,198,59,101,63,21,56,38,18,41,30.51,2023,"5,350,000","5,400,000",both,RW,22,72.0,175.0,4/10/95
Jared McCann,SEA,79,40,30,70,18,7,14,210,108,78,65,28,56,28,26,53,32.91,2023,"6,000,000","5,000,000",both,LW,19,73.0,191.0,5/31/96
Vince Dunn,SEA,81,14,49,63,30,25,55,149,108,75,115,54,50,81,0,0,0.0,2023,"9,000,000","7,350,000",both,D,29,72.0,200.0,10/29/96
Yanni Gourde,SEA,81,14,34,48,24,27,76,142,44,59,117,27,65,53,482,489,49.64,2023,"5,100,000","5,166,666",both,C,37,69.0,174.0,12/15/91
Justin Schultz,SEA,73,7,28,35,3,19,38,95,85,32,30,24,14,72,0,0,0.0,2023,"3,000,000","3,000,000",both,D,4,74.0,190.0,7/6/90
Bowen Byram,COL,43,10,14,24,6,16,38,66,46,29,82,20,13,54,0,0,0.0,2023,"3,080,000","3,850,000",both,D,4,73.0,190.0,6/13/01
Taylor Raddysh,CHI,78,20,17,37,-28,8,16,129,43,52,82,29,33,38,10,8,55.56,2023,"775,000","758,333",both,RW,11,75.0,198.0,2/18/98
Nathan MacKinnon,COL,72,42,68,110,27,15,30,367,148,115,53,47,43,40,518,649,44.39,2023,"775,000","12,600,000",both,C,29,72.0,200.0,9/1/95
Kurtis MacDermid,COL,44,1,5,6,-1,20,55,20,23,8,85,8,6,32,0,1,0.0,2023,"1,000,000","987,500",both,D,56,77.0,233.0,3/25/94
Mikko Rantanen,COL,82,55,50,105,15,33,82,306,131,122,77,45,61,41,222,230,49.12,2023,"9,500,000","9,250,000",both,RW,96,76.0,215.0,10/29/96
Samuel Girard,COL,76,6,31,37,-10,8,16,119,113,36,67,36,42,117,0,0,0.0,2023,"5,000,000","5,000,000",both,D,49,70.0,170.0,5/12/98
Seth Jones,CHI,72,12,25,37,-41,13,30,180,87,64,106,66,46,124,0,0,0.0,2023,"7,500,000","9,500,000",both,D,4,76.0,213.0,10/3/94
Artturi Lehkonen,COL,65,21,30,51,9,14,28,149,63,64,93,12,26,42,4,19,17.39,2023,"5,000,000","4,500,000",both,LW,62,71.0,179.0,7/4/95
Andreas Athanasiou,CHI,81,20,18,38,-30,13,36,175,77,84,43,49,58,46,81,92,46.82,2023,"4,250,000","4,250,000",both,LW,89,74.0,190.0,8/6/94
Cale Makar,COL,62,17,49,66,16,14,30,177,146,82,64,48,50,78,0,0,0.0,2023,"11,000,000","9,000,000",both,D,8,71.0,187.0,10/30/98
Connor Murphy,CHI,80,7,6,13,-10,27,69,84,66,27,165,36,27,159,0,0,0.0,2023,"5,800,000","4,400,000",both,D,5,76.0,212.0,3/26/93
Josh Manson,COL,28,2,8,10,13,18,42,41,20,10,64,13,20,41,0,0,0.0,2023,"5,000,000","4,500,000",both,D,42,75.0,218.0,10/7/91
Valeri Nichushkin,COL,54,17,30,47,15,1,2,158,47,50,54,26,32,37,0,4,0.0,2023,"7,500,000","6,125,000",both,RW,13,76.0,210.0,3/4/95
Tyler Johnson,CHI,56,12,20,32,-22,8,16,124,43,48,49,22,33,24,58,55,51.33,2023,"4,750,000","5,000,000",both,C,90,68.0,185.0,7/29/90
Devon Toews,COL,80,7,42,49,39,12,26,166,95,49,93,39,45,138,0,0,0.0,2023,"5,900,000","4,100,000",both,D,7,73.0,191.0,2/21/94
Andrew Cogliano,COL,79,9,9,18,6,18,44,83,26,21,55,9,24,54,33,37,47.14,2023,"825,000","825,000",both,C,11,70.0,179.0,6/14/87
Jarred Tinordi,CHI,44,2,6,8,-17,14,40,33,26,19,139,20,11,67,0,0,0.0,2023,"1,250,000","1,250,000",both,D,25,78.0,229.0,2/20/92
Logan O'Connor,COL,82,10,16,26,11,17,37,104,44,49,116,20,42,50,2,10,16.67,2023,"1,000,000","1,050,000",both,RW,25,72.0,175.0,8/14/96
Kirby Dach,MTL,58,14,25,39,0,20,51,108,34,47,53,31,28,39,87,140,38.33,2023,"4,100,000","3,362,500",both,,,,,
Cole Caufield,MTL,46,27,10,37,-8,1,2,160,66,71,18,23,20,12,0,0,0.0,2023,"4,975,000","7,850,000",both,,,,,
Sean Monahan,MTL,25,6,11,17,-5,4,16,55,14,15,10,14,18,8,177,144,55.14,2023,"1,985,000","1,985,000",both,,,,,
David Savard,MTL,62,3,17,20,-15,12,40,63,41,19,61,61,15,176,0,0,0.0,2023,"4,200,000","3,500,000",both,,,,,
Josh Anderson,MTL,69,21,11,32,-7,24,72,165,54,67,142,25,33,48,20,25,44.44,2023,"8,000,000","5,500,000",both,,,,,
Nick Suzuki,MTL,82,26,40,66,-13,11,33,161,77,55,50,52,42,56,663,739,47.29,2023,"10,000,000","7,875,000",both,,,,,
Morgan Rielly,TOR,65,4,37,41,-10,9,21,126,68,48,70,65,20,84,0,0,0.0,2023,"5,000,000","7,500,000",both,D,44,73.0,225.0,3/9/94
Brendan Gallagher,MTL,37,9,6,15,-4,16,43,94,53,31,18,17,5,13,6,11,35.29,2023,"8,000,000","6,500,000",both,,,,,
Kaiden Guhle,MTL,44,4,14,18,-19,12,27,49,42,17,84,51,23,77,0,0,0.0,2023,"832,500","863,333",both,,,,,
Arber Xhekaj,MTL,51,5,7,12,-8,29,101,75,66,28,159,38,14,46,0,0,0.0,2023,"775,000","828,333",both,,,,,
Juraj Slafkovsky,MTL,40,4,7,11,-12,11,33,42,33,21,54,13,12,24,5,5,50.0,2023,"855,000","950,000",both,,,,,
Jake Evans,MTL,54,2,17,19,-4,10,28,55,35,17,27,29,19,41,339,311,52.15,2023,"1,700,000","1,700,000",both,,,,,
Jordan Harris,MTL,66,4,13,17,-3,13,26,70,63,25,53,29,18,97,0,0,0.0,2023,"1,400,000","1,400,000",both,,,,,
John Tavares,TOR,80,36,44,80,-7,17,34,277,72,115,112,54,46,36,727,519,58.35,2023,"910,000","11,000,000",both,C,91,73.0,211.0,9/20/90
Auston Matthews,TOR,74,40,45,85,32,10,20,328,115,125,78,55,68,91,550,498,52.48,2023,"775,000","11,640,250",both,C,34,75.0,215.0,9/17/97
William Nylander,TOR,82,40,46,86,10,14,28,292,113,110,18,36,70,26,26,33,44.07,2023,"2,500,000","6,962,366",both,RW,88,72.0,202.0,5/1/96
Johnathan Kovacevic,MTL,77,3,12,15,2,14,39,93,71,39,93,90,35,85,0,0,0.0,2023,"775,000","766,667",both,,,,,
Mark Giordano,TOR,78,4,20,24,26,25,53,107,78,46,60,48,20,147,0,0,0.0,2023,"800,000","800,000",both,D,55,73.0,202.0,10/3/83
Adam Boqvist,CBJ,46,5,17,22,-11,4,8,68,37,30,23,24,11,47,0,0,0.0,2023,"2,600,000","2,600,000",both,,,,,
Mathieu Olivier,CBJ,66,5,10,15,-20,27,81,75,28,33,178,8,17,59,2,13,13.33,2023,"1,100,000","1,100,000",both,,,,,
Erik Gudbranson,CBJ,70,1,11,12,-25,24,57,102,74,39,119,34,13,133,0,0,0.0,2023,"4,000,000","4,000,000",both,,,,,
Johnny Gaudreau,CBJ,80,21,53,74,-34,11,22,220,90,87,5,50,49,18,0,0,0.0,2023,"7,750,000","9,750,000",both,,,,,
Jaccob Slavin,CAR,76,7,20,27,19,4,8,131,98,67,36,40,88,104,0,0,0.0,2023,"5,500,000","5,300,000",both,D,74,75.0,207.0,5/1/94
Brent Burns,CAR,82,18,42,60,19,22,44,256,189,110,40,52,55,85,1,0,100.0,2023,"1,980,000","5,280,000",both,D,8,77.0,230.0,3/9/85
Jalen Chatfield,CAR,78,6,7,13,23,16,35,92,70,53,78,21,28,63,0,0,0.0,2023,"775,000","762,500",both,D,5,73.0,188.0,5/15/96
Sean Kuraly,CBJ,71,11,9,20,-28,26,68,99,38,44,187,17,30,45,568,575,49.69,2023,"3,250,000","2,500,000",both,,,,,
Jake Bean,CBJ,14,1,5,6,-2,3,6,16,11,5,13,3,8,21,0,0,0.0,2023,"2,900,000","2,333,333",both,,,,,
Justin Danforth,CBJ,6,2,1,3,-3,2,4,10,3,7,7,1,1,1,4,9,30.77,2023,"975,000","975,000",both,,,,,
Andrew Peeke,CBJ,80,6,7,13,-40,11,22,90,61,36,180,31,24,195,0,0,0.0,2023,"2,750,000","2,750,000",both,,,,,
Jack Roslovic,CBJ,77,11,33,44,-14,5,10,123,54,42,42,46,31,52,399,490,44.88,2023,"4,000,000","4,000,000",both,,,,,
Cole Sillinger,CBJ,65,3,8,11,-23,11,22,94,42,42,105,15,17,36,309,389,44.27,2023,"832,500","925,000",both,,,,,
Boone Jenner,CBJ,68,27,17,44,-32,20,51,214,70,102,130,25,28,70,756,628,54.62,2023,"3,750,000","3,750,000",both,,,,,
Brett Pesce,CAR,82,5,25,30,10,16,43,142,132,72,37,26,60,108,0,0,0.0,2023,"4,025,000","4,025,000",both,D,22,75.0,206.0,11/15/94
Jesper Fast,CAR,80,10,19,29,9,8,16,75,27,49,104,27,24,41,10,15,40.0,2023,"2,400,000","2,400,000",both,RW,71,73.0,191.0,12/2/91
Jordan Martinook,CAR,82,13,21,34,8,29,61,163,56,85,81,20,45,32,32,38,45.71,2023,"2,700,000","1,800,000",both,LW,48,72.0,196.0,7/25/92
Patrik Laine,CBJ,55,22,30,52,-12,8,16,184,91,84,27,40,24,27,28,52,35.0,2023,"7,100,000","8,700,000",both,,,,,
Sebastian Aho,CAR,75,36,32,68,9,21,42,219,64,92,59,63,63,21,532,502,51.45,2023,"775,000","8,460,250",both,C,20,72.0,176.0,7/26/97
Brady Skjei,CAR,81,18,20,38,6,20,40,189,125,96,71,54,47,61,0,0,0.0,2023,"5,400,000","5,250,000",both,D,76,75.0,210.0,3/26/94
Jordan Staal,CAR,81,17,17,34,6,16,32,124,31,48,155,30,33,39,821,656,55.59,2023,"3,450,000","2,900,000",both,C,11,76.0,220.0,9/10/88
Jesperi Kotkaniemi,CAR,82,18,24,42,10,25,50,130,59,55,105,48,29,21,360,340,51.43,2023,"4,500,000","4,820,000",both,C,82,74.0,201.0,7/6/00
Seth Jarvis,CAR,82,14,26,40,9,6,12,187,67,71,73,30,37,47,9,17,34.62,2023,"832,500","894,167",both,C,24,70.0,175.0,2/1/02
Brandon Carlo,BOS,75,3,13,16,44,16,38,95,47,33,128,21,28,116,0,0,0.0,2023,"4,700,000","4,100,000",both,D,25,78.0,218.0,11/26/96
Dylan Strome,WSH,81,23,43,66,-5,12,24,156,55,65,20,43,45,43,533,563,48.63,2023,"4,500,000","5,000,000",both,,,,,
Anthony Mantha,WSH,67,11,16,27,-9,12,33,120,47,37,70,33,23,25,9,9,50.0,2023,"6,500,000","5,700,000",both,,,,,
Pavel Zacha,BOS,82,21,36,57,26,8,16,131,41,48,67,35,31,20,135,161,45.61,2023,"5,750,000","4,750,000",both,C,18,76.0,199.0,4/6/97
Charlie Coyle,BOS,82,16,29,45,29,15,30,139,50,50,69,42,59,62,534,483,52.51,2023,"4,500,000","5,250,000",both,C,13,75.0,223.0,3/2/92
Evgeny Kuznetsov,WSH,81,12,42,54,-25,28,56,175,80,67,45,64,44,31,510,570,47.22,2023,"6,000,000","7,800,000",both,,,,,
Hampus Lindholm,BOS,80,10,43,53,44,28,56,158,95,45,78,65,31,100,0,0,0.0,2023,"6,000,000","6,500,000",both,D,27,76.0,215.0,1/20/94
Nick Jensen,WSH,77,5,23,28,-3,9,18,109,97,52,110,59,38,130,0,0,0.0,2023,"3,000,000","4,050,000",both,,,,,
Aliaksei Protas,WSH,59,4,11,15,-7,6,12,83,34,22,39,21,17,15,21,43,32.81,2023,"775,000","789,167",both,,,,,
Jakub Lauko,BOS,24,4,3,7,2,4,11,17,8,8,44,6,7,6,0,4,0.0,2023,"775,000","787,500",both,C,94,72.0,196.0,3/28/00
John Carlson,WSH,40,9,20,29,-8,6,12,123,68,69,42,33,21,86,0,0,0.0,2023,"4,000,000","8,000,000",both,,,,,
Derek Forbort,BOS,54,5,7,12,16,10,23,38,48,17,106,24,14,88,0,0,0.0,2023,"3,500,000","3,000,000",both,D,28,76.0,208.0,3/4/92
Nic Dowd,WSH,65,13,12,25,6,11,24,62,24,24,136,34,28,61,433,419,50.82,2023,"1,300,000","1,300,000",both,,,,,
T.J. Oshie,WSH,58,20,16,36,-18,21,59,128,42,61,128,26,45,33,86,99,46.49,2023,"4,000,000","5,750,000",both,,,,,
Alex Ovechkin,WSH,73,42,33,75,-16,19,48,295,166,117,188,52,31,23,4,5,44.44,2023,"1,000,000","9,500,000",both,,,,,
Filip Chytil,NYR,74,22,22,44,15,14,30,177,68,65,36,35,30,38,251,380,39.78,2023,"3,500,000","4,437,500",both,C,72,74.0,208.0,9/5/99
K'Andre Miller,NYR,79,9,32,41,14,17,37,113,74,51,162,68,61,104,0,0,0.0,2023,"2,748,000","3,872,000",both,D,79,77.0,210.0,1/21/00
Mikhail Sergachev,TBL,79,10,53,63,14,25,53,155,127,70,128,45,55,149,0,0,0.0,2023,"4,550,000","8,500,000",both,,,,,
Jacob Trouba,NYR,82,8,22,30,7,24,63,199,109,53,218,49,32,196,0,1,0.0,2023,"8,000,000","8,000,000",both,D,8,75.0,209.0,2/26/94
Steven Stamkos,TBL,81,33,51,84,-3,23,46,240,107,102,92,54,25,51,501,430,53.81,2023,"1,000,000","8,500,000",both,,,,,
Vincent Trocheck,NYR,82,22,40,62,3,26,58,223,76,108,182,64,55,43,720,566,55.99,2023,"3,500,000","5,625,000",both,C,16,71.0,187.0,7/11/93
Mika Zibanejad,NYR,82,39,52,91,24,10,20,251,72,117,71,67,57,46,692,707,49.46,2023,"1,000,000","8,500,000",both,C,93,74.0,201.0,4/18/93
Jimmy Vesey,NYR,81,11,14,25,15,7,20,123,44,40,98,29,56,40,4,14,22.22,2023,"800,000","800,000",both,LW,26,75.0,200.0,5/26/93
Kaapo Kakko,NYR,82,17,22,39,12,4,8,125,48,52,26,30,47,27,1,3,25.0,2023,"2,400,000","2,100,000",both,RW,24,74.0,205.0,2/13/01
Brayden Point,TBL,82,50,44,94,2,2,7,236,73,84,37,45,51,38,417,406,50.67,2023,"5,000,000","9,500,000",both,,,,,
Adam Fox,NYR,82,12,59,71,27,17,34,159,112,62,26,74,88,123,0,0,0.0,2023,"12,000,000","9,500,000",both,D,23,71.0,185.0,2/17/98
Artemi Panarin,NYR,82,29,63,92,4,18,36,205,123,101,26,102,36,11,6,13,31.58,2023,"1,000,000","11,642,857",both,LW,10,72.0,175.0,10/30/91
Chris Kreider,NYR,79,36,19,55,20,13,26,229,47,106,128,39,31,24,37,46,44.58,2023,"3,000,000","6,500,000",both,LW,20,75.0,233.0,4/30/91
Brandon Hagel,TBL,81,30,34,64,24,23,54,177,63,67,69,48,92,57,23,58,28.4,2023,"2,050,000","1,500,000",both,,,,,
Ryan Lindgren,NYR,64,2,16,18,30,21,45,75,57,26,68,17,13,92,0,0,0.0,2023,"4,000,000","3,000,000",both,D,55,72.0,193.0,2/11/98
Victor Hedman,TBL,76,9,40,49,11,17,42,185,112,99,95,79,48,135,0,0,0.0,2023,"5,000,000","7,875,000",both,,,,,
Nikita Kucherov,TBL,82,31,80,111,-1,18,36,272,152,126,61,98,57,28,2,0,100.0,2023,"5,000,000","9,500,000",both,,,,,
Barclay Goodrow,NYR,82,11,20,31,5,20,58,88,34,33,122,33,30,64,274,318,46.28,2023,"5,100,000","3,641,667",both,RW,21,74.0,209.0,2/26/93
